,x,m/z,intensity,resolution,noise,S/N
0,6,601.978515625,75280664.0,73306.0,14774.0771484375,5095.456267328457
1,2,601.9783935546875,69686024.0,72606.0,13766.453125,5062.0173088338615
2,7,601.978515625,74159296.0,73106.0,15763.8427734375,4704.392010618148
3,3,601.9783325195312,69917080.0,72706.0,15005.552734375,4659.413834175708
4,5,601.9784545898438,65977540.0,73706.0,14282.90234375,4619.337051539168
5,4,601.9784545898438,67709320.0,72306.0,14889.591796875,4547.426210449282
6,1,601.9783325195312,59397140.0,73606.0,13116.779296875,4528.332653592109
7,2,318.9793395996094,52364988.0,101906.0,12370.353515625,4233.103599978591
8,5,318.9793701171875,51011712.0,101706.0,13289.4287109375,3838.518051420541
9,1,318.9792785644531,46154204.0,100706.0,12236.1513671875,3771.9543192124324
10,6,318.9793701171875,54035844.0,101806.0,14359.900390625,3762.967884880164
11,7,318.9794006347656,57119140.0,101206.0,15418.9052734375,3704.4873800736323
12,4,318.9793701171875,52397208.0,101506.0,14277.9892578125,3669.78900557232
13,3,318.97930908203125,51512700.0,101306.0,14526.87890625,3546.0266676992355
14,2,603.973876953125,48705292.0,73302.0,13785.7431640625,3533.018961717484
15,1,603.9738159179688,46160584.0,73002.0,13129.9765625,3515.6638536459686
16,5,603.9739379882812,47485972.0,73202.0,14296.2216796875,3321.5749632274865
17,6,603.9739990234375,48676440.0,73002.0,14776.3330078125,3294.2164997407635
18,4,603.9739379882812,48011756.0,73202.0,14898.3857421875,3222.614639654949
19,3,603.9738159179688,47841276.0,72302.0,15023.2216796875,3184.488455274871
20,7,603.9739990234375,49470284.0,72702.0,15784.447265625,3134.11570056908
21,2,112.98543548583984,36747220.0,170002.0,12190.1806640625,3014.493469184863
22,2,1433.960205078125,44302796.0,47606.0,15154.404296875,2923.427086417096
23,6,1433.96044921875,48729248.0,47506.0,16680.3828125,2921.350699666384
24,5,112.98545837402344,36240956.0,171002.0,12648.916015625,2865.1432229633065
25,1,112.98542785644531,32797982.0,171902.0,11483.61328125,2856.0681378526806
26,6,112.9854507446289,36510620.0,168602.0,13467.8466796875,2710.9471074589906
27,7,112.98545837402344,37664908.0,169802.0,14218.47265625,2649.012232930917
28,4,112.9854507446289,35366504.0,166902.0,13396.9697265625,2639.888327125049
29,3,112.98543548583984,35452564.0,167502.0,13437.6962890625,2638.2918051851134
30,4,1433.9603271484375,43353908.0,47506.0,16714.052734375,2593.859711285706
31,3,1433.9600830078125,44522404.0,47506.0,17578.361328125,2532.796042186544
32,5,1433.9603271484375,41618380.0,47406.0,16672.662109375,2496.2048488104415
33,7,1433.96044921875,46599148.0,47406.0,18792.2109375,2479.7054564245577
34,1,1433.9599609375,37641984.0,47306.0,15528.869140625,2424.0003350614234
35,2,362.9690856933594,28107284.0,94206.0,12354.7236328125,2275.023289501256
36,6,362.9691467285156,29701024.0,94106.0,13826.236328125,2148.1640625209684
37,5,362.9691467285156,28396266.0,94106.0,13420.0458984375,2115.9589329948703
38,7,362.9691467285156,31232182.0,93706.0,15080.3779296875,2071.047698248714
39,1,362.9690246582031,23557326.0,93206.0,12091.5,1948.2550552040689
40,4,362.9691162109375,27776612.0,93606.0,14278.357421875,1945.364664806972
41,3,362.96905517578125,27856332.0,94106.0,14390.779296875,1935.7069846835248
42,6,1333.9661865234375,30881524.0,48706.0,16579.328125,1862.6523202368915
43,2,1333.966064453125,27563892.0,48806.0,15152.3486328125,1819.1168028110328
44,2,1033.9859619140625,24099898.0,55806.0,14890.59375,1618.464542422964
45,4,1333.966064453125,26812068.0,49006.0,16611.068359375,1614.108582297642
46,6,1033.986083984375,26096160.0,55906.0,16216.14453125,1609.2703138967652
47,3,1333.9659423828125,27599082.0,48806.0,17531.70703125,1574.2381475349239
48,7,1333.96630859375,29878082.0,49206.0,18993.462890625,1573.0718601476062
49,5,1333.9661865234375,26298478.0,49006.0,16795.0078125,1565.850894122649
50,1,1333.9656982421875,23777686.0,48806.0,15387.0791015625,1545.30212284315
51,2,643.9887084960938,20523722.0,70306.0,14172.556640625,1448.1312384506314
