,x,m/z,intensity,resolution,noise,S/N
0,40,281.24871826171875,1651979.75,54007.0,361.25994873046875,4572.8283907622435
1,36,281.24871826171875,1716713.0,54007.0,385.0484619140625,4458.433599413122
2,51,281.24871826171875,1625792.0,54007.0,369.25628662109375,4402.882385231479
3,56,281.2486877441406,1685972.25,53807.0,386.30462646484375,4364.359457531463
4,57,281.2486877441406,1636919.25,54007.0,375.8027648925781,4355.793525010141
5,50,281.24871826171875,1620634.625,54007.0,376.59771728515625,4303.357536744894
6,35,281.24871826171875,1602289.25,54107.0,372.79156494140625,4298.083435047251
7,39,281.24871826171875,1514628.625,54107.0,352.7525634765625,4293.742361706847
8,41,281.2487487792969,1594086.5,54107.0,373.75177001953125,4265.094182474902
9,37,281.24871826171875,1557649.0,53907.0,372.48931884765625,4181.727961539375
10,38,281.2486877441406,1508715.375,54107.0,367.436279296875,4106.05990754934
11,61,281.24871826171875,1502980.75,53907.0,368.1142883300781,4082.918804423907
12,42,281.24871826171875,1414577.125,53807.0,351.6651306152344,4022.511764317413
13,49,281.24871826171875,1478504.5,54207.0,370.896484375,3986.2995803032136
14,58,281.24871826171875,1461138.0,53807.0,366.77069091796875,3983.79160652942
15,62,281.2486877441406,1450867.25,54107.0,366.6610107421875,3956.9717190905712
16,55,281.24871826171875,1445851.0,54007.0,368.9601745605469,3918.718332465267
17,52,281.24871826171875,1423431.125,54107.0,365.45037841796875,3895.005201970292
18,34,281.24871826171875,1397260.375,53907.0,361.84210205078125,3861.5196161001386
19,60,281.24871826171875,1383289.625,54107.0,359.1897888183594,3851.1385013217155
20,45,281.2486877441406,1348850.625,54107.0,353.9306640625,3811.0589501276127
21,66,281.24871826171875,1350909.875,53907.0,359.0640869140625,3762.3085243925366
22,44,281.24871826171875,1306968.0,53807.0,349.9609375,3734.61109498828
23,59,281.24871826171875,1351961.875,53807.0,363.2435607910156,3721.9155986025094
24,46,281.24871826171875,1369555.5,54007.0,368.1852111816406,3719.7460908454113
25,43,281.24871826171875,1268305.75,54007.0,349.4223327636719,3629.7214890892656
26,67,281.24871826171875,1266593.625,54207.0,351.72247314453125,3601.11656692328
27,65,281.2486877441406,1277117.0,53907.0,355.8597717285156,3588.8209386429576
28,54,281.2486877441406,1292366.375,53807.0,367.8126220703125,3513.6542289539652
29,32,281.24871826171875,1143084.375,53907.0,332.32806396484375,3439.626378110891
30,26,281.24871826171875,1130329.125,53807.0,330.0789489746094,3424.4205167017426
31,28,281.24871826171875,1179872.0,54007.0,349.1811218261719,3378.9684672224626
32,33,281.24871826171875,1134503.875,54207.0,338.44500732421875,3352.106990643783
33,63,281.24871826171875,1183985.25,53707.0,353.2926025390625,3351.2879734556295
34,27,281.24871826171875,1167183.0,53807.0,351.526611328125,3320.3261499611417
35,53,281.24871826171875,1116857.0,54107.0,337.09405517578125,3313.1910303716368
36,48,281.24871826171875,1114744.125,54107.0,336.7082824707031,3310.7119219646565
37,71,281.2486877441406,1140579.0,54107.0,344.7746276855469,3308.1871704325927
38,47,281.24871826171875,1147094.125,54007.0,346.7652587890625,3307.9845685976807
39,70,281.2486877441406,1079099.125,54107.0,331.2131652832031,3258.020024890371
40,31,281.24871826171875,1097768.75,54007.0,345.59002685546875,3176.505873125512
41,77,281.24871826171875,1026274.0,54007.0,326.52947998046875,3142.975023453889
42,64,281.24871826171875,1109785.875,54207.0,356.14691162109375,3116.0901268202097
43,72,281.24871826171875,1061111.0,53807.0,341.5086669921875,3107.127585796452
44,29,281.24871826171875,1048263.75,53907.0,341.01898193359375,3073.9161323404783
45,30,281.24871826171875,1063207.125,53907.0,347.89593505859375,3056.1067775078523
46,79,281.2486877441406,960837.5625,54007.0,317.57049560546875,3025.588257712987
47,22,281.2487487792969,1014322.5,53807.0,337.1245422363281,3008.747133244747
48,25,281.24871826171875,988808.25,53807.0,331.16485595703125,2985.8489879381955
49,21,281.24871826171875,960890.625,54107.0,323.5680847167969,2969.6705898575256
50,23,281.2487487792969,977555.5,54207.0,329.9064025878906,2963.129822069969
51,80,281.2486877441406,953458.125,53807.0,326.646728515625,2918.9275194421293
52,78,281.2487487792969,967574.1875,53907.0,334.9912414550781,2888.3566725422893
53,76,281.24871826171875,972587.875,54007.0,338.1964111328125,2875.8077938859524
54,73,281.24871826171875,921982.125,54107.0,325.00860595703125,2836.792959020579
